sample_lib,date,experiment,antibody,concentration,sort_bin,number_cells,counts,counts:cells,is_reference
"exptREF-none-0-ref, lib24",220816,exptREF,none,0,ref,,6.97e+07,,True
"exptREF-none-0-ref, lib25",220816,exptREF,none,0,ref,,3.34e+07,,True
"expt12-C68_61-98-abneg, lib24",220816,expt12,C68_61,98,abneg,5.02e+05,2.79e+06,5.56,False
"expt12-C68_61-98-abneg, lib25",220816,expt12,C68_61,98,abneg,4.84e+05,2.59e+06,5.36,False
"expt13-C68_121-95-abneg, lib24",220816,expt13,C68_121,95,abneg,4.83e+05,2.45e+06,5.07,False
"expt13-C68_121-95-abneg, lib25",220816,expt13,C68_121,95,abneg,4.53e+05,2.47e+06,5.45,False
"expt15-C68_183-180-abneg, lib24",220816,expt15,C68_183,180,abneg,6.84e+05,3.86e+06,5.64,False
"expt15-C68_183-180-abneg, lib25",220816,expt15,C68_183,180,abneg,6.61e+05,3.21e+06,4.85,False
"expt16-C68_185-110-abneg, lib24",220816,expt16,C68_185,110,abneg,4.64e+05,2.5e+06,5.38,False
"expt16-C68_185-110-abneg, lib25",220816,expt16,C68_185,110,abneg,4.57e+05,2.36e+06,5.16,False
"exptREF2-none-0-ref, lib24",230630,exptREF2,none,0,ref,,4.87e+07,,True
"exptREF2-none-0-ref, lib25",230630,exptREF2,none,0,ref,,5.43e+07,,True
"expt1-C68_175-93-abneg, lib24",230630,expt1,C68_175,93,abneg,7.2e+05,3e+06,4.16,False
"expt1-C68_175-93-abneg, lib25",230630,expt1,C68_175,93,abneg,7.68e+05,3.02e+06,3.93,False
"expt2-C68_200-312-abneg, lib24",230630,expt2,C68_200,312,abneg,6e+05,3.15e+06,5.25,False
"expt2-C68_200-312-abneg, lib25",230630,expt2,C68_200,312,abneg,5.76e+05,2.32e+06,4.04,False
"expt3-C68_203-107-abneg, lib24",230630,expt3,C68_203,107,abneg,6.28e+05,2.51e+06,4,False
"expt3-C68_203-107-abneg, lib25",230630,expt3,C68_203,107,abneg,6e+05,2.53e+06,4.22,False
"expt4-C68_327-259-abneg, lib24",230630,expt4,C68_327,259,abneg,5.44e+05,2.06e+06,3.78,False
"expt4-C68_327-259-abneg, lib25",230630,expt4,C68_327,259,abneg,6.08e+05,2.49e+06,4.1,False
"exptREF3-none-0-ref, lib24",230714,exptREF3,none,0,ref,,4.44e+07,,True
"exptREF3-none-0-ref, lib25",230714,exptREF3,none,0,ref,,4.91e+07,,True
"expt2-C68_10-77-abneg, lib24",230714,expt2,C68_10,77,abneg,7.36e+05,4.04e+06,5.49,False
"expt2-C68_10-77-abneg, lib25",230714,expt2,C68_10,77,abneg,7.48e+05,2.82e+06,3.77,False
"expt3-C68_83-34-abneg, lib24",230714,expt3,C68_83,34,abneg,1.17e+06,5.16e+06,4.4,False
"expt3-C68_83-34-abneg, lib25",230714,expt3,C68_83,34,abneg,1.22e+06,4e+06,3.28,False
"expt5-C68_201-50-abneg, lib24",230714,expt5,C68_201,50,abneg,6.92e+05,2.85e+06,4.11,False
"expt5-C68_201-50-abneg, lib25",230714,expt5,C68_201,50,abneg,6.15e+05,1.88e+06,3.06,False
"expt6-C68_348-79-abneg, lib24",230714,expt6,C68_348,79,abneg,4.53e+05,3.21e+06,7.08,False
"expt6-C68_348-79-abneg, lib25",230714,expt6,C68_348,79,abneg,4.96e+05,5.17e+06,10.4,False
